Code géographique 1991;Nom de la municipalité;Population estimée;Latitude;Longitude
7912;Lac-Alfred;0;"48° 23' 12"" N";"67° 44' 32"" O"
7914;Lac-Matapédia;7;"48° 34' 19"" N";"67° 30' 54"" O"
8005;Les Méchins;965;"48° 59' 52"" N";"66° 58' 49"" O"
8010;Saint-Jean-de-Cherbourg;165;"48° 51' 31"" N";"67° 06' 41"" O"
8015;Grosses-Roches;387;"48° 56' 23"" N";"67° 10' 25"" O"
8023;Sainte-Félicité;1 099;"48° 53' 55"" N";"67° 20' 02"" O"
8030;Saint-Adelme;517;"48° 49' 27"" N";"67° 19' 14"" O"
8035;Saint-René-de-Matane;969;"48° 42' 18"" N";"67° 23' 08"" O"
8040;Sainte-Paule;242;"48° 39' 35"" N";"67° 33' 27"" O"
8053;Matane;14 164;"48° 50' 36"" N";"67° 31' 50"" O"
8065;Saint-Léandre;380;"48° 43' 51"" N";"67° 36' 21"" O"
8073;Saint-Ulric;1 551;"48° 47' 15"" N";"67° 41' 57"" O"
8080;Baie-des-Sables;630;"48° 43' 15"" N";"67° 53' 38"" O"
8902;Rivière-Bonjour;0;"48° 44' 50"" N";"66° 43' 25"" O"
9005;La Rédemption;437;"48° 26' 40"" N";"67° 52' 40"" O"
9010;Saint-Charles-Garnier;238;"48° 20' 28"" N";"68° 02' 40"" O"
9015;Les Hauteurs;484;"48° 22' 41"" N";"68° 06' 49"" O"
9020;Sainte-Jeanne-d'Arc;280;"48° 29' 37"" N";"67° 57' 23"" O"
9025;Saint-Gabriel-de-Rimouski;1 134;"48° 25' 53"" N";"68° 09' 50"" O"
9030;Saint-Donat;848;"48° 29' 44"" N";"68° 14' 39"" O"
9035;Sainte-Angèle-de-Mérici;937;"48° 31' 36"" N";"68° 04' 60"" O"
9040;Padoue;240;"48° 34' 45"" N";"67° 59' 17"" O"
9048;Métis-sur-Mer;555;"48° 41' 01"" N";"67° 57' 49"" O"
9055;Saint-Octave-de-Métis;505;"48° 36' 01"" N";"68° 04' 49"" O"
9060;Grand-Métis;211;"48° 36' 57"" N";"68° 06' 31"" O"
9065;Price;1 750;"48° 36' 07"" N";"68° 07' 23"" O"
9070;Saint-Joseph-de-Lepage;541;"48° 34' 37"" N";"68° 10' 05"" O"
9077;Mont-Joli;6 199;"48° 35' 07"" N";"68° 11' 21"" O"
9085;Sainte-Flavie;885;"48° 36' 38"" N";"68° 13' 39"" O"
9092;Sainte-Luce;2 805;"48° 32' 47"" N";"68° 23' 40"" O"
9902;Lac-des-Eaux-Mortes;0;"48° 10' 20"" N";"67° 54' 02"" O"
9904;Lac-à-la-Croix;0;"48° 17' 20"" N";"67° 46' 09"" O"
10005;Esprit-Saint;331;"48° 04' 02"" N";"68° 33' 46"" O"
10010;La Trinité-des-Monts;227;"48° 07' 40"" N";"68° 28' 29"" O"
10015;Saint-Narcisse-de-Rimouski;983;"48° 17' 08"" N";"68° 26' 19"" O"
10025;Saint-Marcellin;341;"48° 20' 07"" N";"68° 17' 32"" O"
10030;Saint-Anaclet-de-Lessard;3 065;"48° 28' 20"" N";"68° 26' 05"" O"
10043;Rimouski;49 163;"48° 26' 57"" N";"68° 31' 30"" O"
10060;Saint-Valérien;836;"48° 20' 19"" N";"68° 39' 25"" O"
10070;Saint-Fabien;1 788;"48° 17' 39"" N";"68° 52' 01"" O"
10075;Saint-Eugène-de-Ladrière;389;"48° 14' 52"" N";"68° 48' 03"" O"
10902;Lac-Huron;10;"48° 04' 51"" N";"68° 13' 19"" O"
11005;Saint-Clément;466;"47° 55' 25"" N";"69° 05' 50"" O"
11010;Saint-Jean-de-Dieu;1 605;"48° 00' 04"" N";"69° 02' 48"" O"
11015;Sainte-Rita;303;"47° 56' 54"" N";"68° 54' 45"" O"
11020;Saint-Guy;53;"48° 02' 07"" N";"68° 47' 09"" O"
11025;Saint-Médard;202;"48° 02' 50"" N";"68° 53' 56"" O"
11030;Sainte-Françoise;388;"48° 05' 43"" N";"69° 04' 04"" O"
11035;Saint-Éloi;288;"48° 02' 13"" N";"69° 13' 41"" O"
11040;Trois-Pistoles;3 207;"48° 07' 32"" N";"69° 10' 31"" O"
11045;Notre-Dame-des-Neiges;1 058;"48° 06' 51"" N";"69° 09' 26"" O"
11050;Saint-Mathieu-de-Rioux;660;"48° 11' 02"" N";"68° 59' 05"" O"
11055;Saint-Simon;421;"48° 12' 07"" N";"69° 02' 37"" O"
11902;Lac-Boisbouscache;0;"48° 07' 40"" N";"68° 53' 02"" O"
12005;Saint-Cyprien;1 063;"47° 53' 44"" N";"69° 01' 27"" O"
12010;Saint-Hubert-de-Rivière-du-Loup;1 337;"47° 48' 57"" N";"69° 08' 52"" O"
12015;Saint-Antonin;4 197;"47° 45' 52"" N";"69° 28' 32"" O"
12020;Saint-Modeste;1 157;"47° 49' 50"" N";"69° 24' 15"" O"
12025;Saint-François-Xavier-de-Viger;249;"47° 51' 23"" N";"69° 14' 43"" O"
12030;Saint-Épiphane;830;"47° 53' 45"" N";"69° 19' 45"" O"
12035;Saint-Paul-de-la-Croix;300;"47° 57' 12"" N";"69° 11' 39"" O"
12043;L'Isle-Verte;1 283;"48° 00' 55"" N";"69° 20' 05"" O"
12045;Notre-Dame-des-Sept-Douleurs;36;"48° 00' 35"" N";"69° 27' 19"" O"
12057;Cacouna;1 819;"47° 54' 59"" N";"69° 29' 59"" O"
12065;Saint-Arsène;1 226;"47° 54' 48"" N";"69° 26' 02"" O"
12072;Rivière-du-Loup;19 917;"47° 50' 10"" N";"69° 32' 12"" O"
12080;Notre-Dame-du-Portage;1 132;"47° 45' 56"" N";"69° 36' 35"" O"
12802;Whitworth;0;"47° 42' 05"" N";"69° 16' 27"" O"
12804;Cacouna;0;"47° 55' 05"" N";"69° 30' 27"" O"
13005;Dégelis;2 846;"47° 32' 53"" N";"68° 38' 49"" O"
13010;Saint-Jean-de-la-Lande;241;"47° 25' 35"" N";"68° 40' 52"" O"
13015;Packington;609;"47° 29' 26"" N";"68° 47' 11"" O"
13020;Saint-Marc-du-Lac-Long;392;"47° 23' 19"" N";"68° 53' 42"" O"
13025;Rivière-Bleue;1 202;"47° 26' 10"" N";"69° 02' 35"" O"
13030;Saint-Eusèbe;580;"47° 32' 37"" N";"68° 54' 48"" O"
13040;Saint-Juste-du-Lac;567;"47° 39' 14"" N";"68° 45' 15"" O"
13045;Auclair;449;"47° 43' 43"" N";"68° 38' 38"" O"
13050;Lejeune;270;"47° 46' 08"" N";"68° 34' 28"" O"
13055;Biencourt;449;"47° 56' 16"" N";"68° 36' 25"" O"
13060;Lac-des-Aigles;513;"47° 59' 20"" N";"68° 40' 39"" O"
13065;Saint-Michel-du-Squatec;1 070;"47° 52' 52"" N";"68° 43' 11"" O"
13073;Témiscouata-sur-le-Lac;4 866;"47° 40' 60"" N";"68° 52' 60"" O"
13075;Saint-Pierre-de-Lamy;109;"47° 47' 02"" N";"69° 02' 03"" O"
13080;Saint-Louis-du-Ha! Ha!;1 255;"47° 40' 13"" N";"68° 58' 54"" O"
13085;Saint-Elzéar-de-Témiscouata;332;"47° 35' 30"" N";"69° 05' 37"" O"
13090;Saint-Honoré-de-Témiscouata;743;"47° 42' 31"" N";"69° 08' 09"" O"
13095;Pohénégamook;2 520;"47° 27' 24"" N";"69° 14' 26"" O"
13100;Saint-Athanase;302;"47° 26' 21"" N";"69° 24' 55"" O"
14005;Mont-Carmel;1 136;"47° 26' 30"" N";"69° 51' 19"" O"
14010;Saint-Bruno-de-Kamouraska;537;"47° 27' 24"" N";"69° 45' 14"" O"
14018;Saint-Pascal;3 457;"47° 31' 42"" N";"69° 48' 27"" O"
14025;Sainte-Hélène-de-Kamouraska;904;"47° 35' 21"" N";"69° 43' 47"" O"
14030;Saint-Joseph-de-Kamouraska;391;"47° 36' 38"" N";"69° 38' 32"" O"
14035;Saint-Alexandre-de-Kamouraska;2 154;"47° 40' 46"" N";"69° 37' 11"" O"
14040;Saint-André;677;"47° 40' 25"" N";"69° 43' 40"" O"
14045;Saint-Germain;283;"47° 35' 16"" N";"69° 47' 54"" O"
14050;Kamouraska;602;"47° 33' 57"" N";"69° 52' 06"" O"
14055;Saint-Denis-De La Bouteillerie;516;"47° 30' 06"" N";"69° 56' 09"" O"
14060;Saint-Philippe-de-Néri;814;"47° 28' 01"" N";"69° 53' 12"" O"
14065;Rivière-Ouelle;973;"47° 26' 03"" N";"70° 00' 57"" O"
14070;Saint-Pacôme;1 548;"47° 24' 33"" N";"69° 56' 45"" O"
14075;Saint-Gabriel-Lalemant;712;"47° 22' 57"" N";"69° 55' 43"" O"
14080;Saint-Onésime-d'Ixworth;559;"47° 19' 37"" N";"69° 58' 55"" O"
14085;La Pocatière;4 080;"47° 22' 13"" N";"70° 01' 58"" O"
14090;Sainte-Anne-de-la-Pocatière;1 621;"47° 20' 31"" N";"70° 02' 10"" O"
14902;Picard;10;"47° 34' 56"" N";"69° 28' 41"" O"
14904;Petit-Lac-Sainte-Anne;0;"47° 10' 32"" N";"69° 43' 22"" O"
15005;Saint-Irénée;670;"47° 34' 16"" N";"70° 12' 26"" O"
15013;La Malbaie;8 118;"47° 39' 08"" N";"70° 08' 56"" O"
15025;Notre-Dame-des-Monts;805;"47° 40' 01"" N";"70° 22' 40"" O"
15030;Saint-Aimé-des-Lacs;1 101;"47° 40' 57"" N";"70° 18' 32"" O"
15035;Clermont;3 096;"47° 41' 40"" N";"70° 13' 32"" O"
15058;Saint-Siméon;1 183;"47° 50' 14"" N";"69° 52' 55"" O"
15065;Baie-Sainte-Catherine;200;"48° 06' 11"" N";"69° 43' 34"" O"
15902;Mont-Élie;63;"47° 52' 11"" N";"70° 17' 10"" O"
15904;Sagard;130;"48° 03' 05"" N";"70° 06' 40"" O"
16005;Petite-Rivière-Saint-François;845;"47° 18' 04"" N";"70° 34' 07"" O"
16013;Baie-Saint-Paul;7 146;"47° 26' 26"" N";"70° 30' 34"" O"
16023;L'Isle-aux-Coudres;1 096;"47° 25' 13"" N";"70° 23' 07"" O"
16048;Les Éboulements;1 313;"47° 28' 45"" N";"70° 19' 03"" O"
16050;Saint-Hilarion;1 109;"47° 34' 42"" N";"70° 24' 08"" O"
16055;Saint-Urbain;1 387;"47° 33' 26"" N";"70° 32' 26"" O"
16902;Lac-Pikauba;0;"47° 45' 23"" N";"70° 56' 10"" O"
17005;Saint-Omer;279;"47° 03' 33"" N";"69° 43' 44"" O"
17010;Saint-Pamphile;2 375;"46° 57' 39"" N";"69° 46' 38"" O"
17015;Saint-Adalbert;497;"46° 51' 56"" N";"69° 53' 59"" O"
17020;Saint-Marcel;422;"46° 53' 53"" N";"70° 03' 42"" O"
17025;Sainte-Félicité;380;"46° 58' 01"" N";"69° 56' 57"" O"
17030;Sainte-Perpétue;1 609;"47° 03' 21"" N";"69° 55' 33"" O"
17035;Tourville;575;"47° 05' 42"" N";"69° 58' 55"" O"
17040;Saint-Damase-de-L'Islet;545;"47° 11' 47"" N";"70° 07' 41"" O"
17045;Saint-Cyrille-de-Lessard;715;"47° 02' 07"" N";"70° 16' 21"" O"
17055;Saint-Aubert;1 466;"47° 10' 40"" N";"70° 13' 02"" O"
17060;Sainte-Louise;682;"47° 16' 57"" N";"70° 07' 43"" O"
17065;Saint-Roch-des-Aulnaies;917;"47° 18' 29"" N";"70° 10' 21"" O"
17070;Saint-Jean-Port-Joli;3 386;"47° 12' 60"" N";"70° 16' 12"" O"
17078;L'Islet;3 811;"47° 06' 13"" N";"70° 21' 07"" O"
18005;Saint-Just-de-Bretenières;660;"46° 34' 12"" N";"70° 05' 20"" O"
18010;Lac-Frontière;179;"46° 41' 44"" N";"70° 00' 11"" O"
18015;Saint-Fabien-de-Panet;945;"46° 39' 21"" N";"70° 08' 48"" O"
18020;Sainte-Lucie-de-Beauregard;271;"46° 44' 33"" N";"70° 01' 42"" O"
18025;Sainte-Apolline-de-Patton;526;"46° 48' 24"" N";"70° 11' 39"" O"
18030;Saint-Paul-de-Montminy;789;"46° 43' 48"" N";"70° 21' 42"" O"
18035;Sainte-Euphémie-sur-Rivière-du-Sud;325;"46° 46' 33"" N";"70° 26' 12"" O"
18040;Notre-Dame-du-Rosaire;385;"46° 49' 36"" N";"70° 23' 38"" O"
18045;Cap-Saint-Ignace;3 106;"47° 01' 53"" N";"70° 26' 29"" O"
18050;Montmagny;11 153;"46° 58' 53"" N";"70° 33' 27"" O"
18055;Saint-Pierre-de-la-Rivière-du-Sud;904;"46° 54' 50"" N";"70° 37' 36"" O"
18060;Saint-François-de-la-Rivière-du-Sud;1 646;"46° 53' 13"" N";"70° 42' 55"" O"
18065;Berthier-sur-Mer;1 618;"46° 55' 32"" N";"70° 43' 57"" O"
18070;Saint-Antoine-de-l'Isle-aux-Grues;140;"47° 04' 00"" N";"70° 32' 21"" O"
19005;Saint-Philémon;699;"46° 40' 44"" N";"70° 26' 52"" O"
19010;Notre-Dame-Auxiliatrice-de-Buckland;768;"46° 37' 11"" N";"70° 32' 38"" O"
19015;Saint-Nazaire-de-Dorchester;357;"46° 33' 06"" N";"70° 39' 43"" O"
19020;Saint-Léon-de-Standon;1 100;"46° 28' 42"" N";"70° 37' 11"" O"
19025;Saint-Malachie;1 516;"46° 31' 55"" N";"70° 45' 56"" O"
19030;Saint-Damien-de-Buckland;1 880;"46° 37' 46"" N";"70° 39' 57"" O"
19037;Armagh;1 485;"46° 44' 35"" N";"70° 35' 16"" O"
19045;Saint-Nérée-de-Bellechasse;742;"46° 43' 43"" N";"70° 43' 44"" O"
19050;Saint-Lazare-de-Bellechasse;1 306;"46° 39' 23"" N";"70° 47' 54"" O"
19055;Sainte-Claire;3 437;"46° 35' 54"" N";"70° 51' 55"" O"
19062;Saint-Anselme;4 010;"46° 37' 41"" N";"70° 58' 19"" O"
19068;Saint-Henri;5 676;"46° 41' 33"" N";"71° 04' 03"" O"
19070;Honfleur;873;"46° 39' 21"" N";"70° 52' 49"" O"
19075;Saint-Gervais;2 182;"46° 42' 59"" N";"70° 53' 30"" O"
19082;Saint-Raphaël;2 383;"46° 47' 40"" N";"70° 45' 21"" O"
19090;La Durantaye;783;"46° 50' 09"" N";"70° 51' 19"" O"
19097;Saint-Charles-de-Bellechasse;2 464;"46° 46' 21"" N";"70° 56' 31"" O"
19105;Beaumont;2 941;"46° 49' 50"" N";"71° 00' 35"" O"
19110;Saint-Michel-de-Bellechasse;1 812;"46° 52' 26"" N";"70° 54' 28"" O"
19117;Saint-Vallier;1 064;"46° 53' 34"" N";"70° 49' 19"" O"
20005;Saint-François-de-l'Île-d'Orléans;564;"47° 00' 09"" N";"70° 48' 47"" O"
20010;Sainte-Famille-de-l'Île-d'Orléans;964;"46° 58' 23"" N";"70° 57' 45"" O"
